From,To
Mast,Bentele2008
Mast,Bentele1996
Mast,Bentele_Buchele_Hoepfner_Liebert2009
Mast,Bentele_DFJV2006
Mast,Bentele_Will2008
Mast,Bruhn2015
Mast,Bruhn2014a
Mast,Bruhn2014b
Mast,Bruhn2010
Mast,Bruhn2008
Mast,Bruhn2004
Mast,Bruhn2000
Mast,Bruhn_Ahlers2009
Mast,Bruhn_Homburg2013
Mast,Bruhn_Wunderlich2004
Mast,Hoffjann2014
Mast,HuckSandhu2005a
Mast,HuckSandhu_Gueller2004
Mast,HuckSandhu_Spachmann2008
Mast,Ingenhoff_RoettgerU2008
Mast,Luhmann2001
Mast,Mast_HuckSandhu_Gueller2003
Mast,Mast_HuckSandhu_Zerfass2006
Mast,Merten2008
Mast,Merten2000
Mast,Merten1977
Mast,RoettgerU2010
Mast,RoettgerU2003a
Mast,RoettgerU2000
Mast,RoettgerU_Ingenhoff2008
Mast,RoettgerU_Preusse_Schmitt2011
Mast,Spachmann_HuckSandhu2015
Mast,SzyszkaP2009
Mast,SzyszkaP2008
Mast,SzyszkaP_SchmitzH2006
Mast,Zerfass_HuckSandhu2007
Mast,HuckSandhu2007
Mast,HuckSandhu2005b
Mast,HuckSandhu2005c
Mast,HuckSandhu2004
Mast,HuckSandhu2002
Mast,HuckSandhu2001
Mast,Mast_HuckSandhu_Gueller2005
Mast,RoettgerU2003a
RoettgerU,Avenarius_Bentele2009
RoettgerU,Becher1996
RoettgerU,Bentele1992
RoettgerU,Bentele1998
RoettgerU,Bentele2008
RoettgerU,Bentele_Dolder_Fechner_Seidenglanz2012
RoettgerU,Bentele_Grosskurtz_Seidenglanz2007
RoettgerU,Bentele_Grosskurth_Seidenglanz2009
RoettgerU,SzyszkaP1995
RoettgerU,SzyszkaP_Schuette_Urbahn2009
Hoffmann_Mueller,Merten2000
Hoffmann_Mueller,RoettgerU2003b
Hoffjann,Altmeppen_RoettgerU_Bentele2004a
Hoffjann,Altmeppen_RoettgerU_Bentele2004b
Hoffjann,Avenarius_Bentele2009
Hoffjann,Bentele1992a
Hoffjann,Bentele1992b
Hoffjann,Bentele1994a
Hoffjann,Bentele1994b
Hoffjann,Bentele1997a
Hoffjann,Bentele1997b
Hoffjann,Bentele1998
Hoffjann,Bentele2008a
Hoffjann,Bentele2008b
Hoffjann,Bentele2008c
Hoffjann,Bentele2009
Hoffjann,Bentele2013a
Hoffjann,Bentele2013b
Hoffjann,Bentele_Liebert_Seelig1997
Hoffjann,Bentele_Nothhaft2004
Hoffjann,Bentele_Nothhaft2011
Hoffjann,Bentele_Nothhaft2014
Hoffjann,Bentele_Seidenglanz2004
Hoffjann,Bentele_Seidenglanz2008
Hoffjann,Bentele_Seidenglanz_Fechner_Dolderer2012
Hoffjann,Bentele_Seiffert2009
Hoffjann,Bruhn2004
Hoffjann,Bruhn2005a
Hoffjann,Bruhn2005b
Hoffjann,Bruhn2006
Hoffjann,Bruhn2009a
Hoffjann,Bruhn2009b
Hoffjann,Bruhn_Ahlers2009
Hoffjann,Bruhn_Esch_Langer2008
Hoffjann,Gehrau_RoettgerU_Preusse2013
Hoffjann,HuckSandhu2013
Hoffjann,Ingenhoff_RoettgerU2006
Hoffjann,Ingenhoff_RoettgerU2013
Hoffjann,Jarren_ RoettgerU2009
Hoffjann,Loehn_RoettgerU2009
Hoffjann,Luhmann1964
Hoffjann,Luhmann1978
Hoffjann,Luhmann1980
Hoffjann,Luhmann1981
Hoffjann,Luhmann1889
Hoffjann,Luhmann1990a
Hoffjann,Luhmann1990b
Hoffjann,Luhmann1991
Hoffjann,Luhmann1992
Hoffjann,Luhmann1994
Hoffjann,Luhmann1996
Hoffjann,Luhmann1997
Hoffjann,Luhmann2000
Hoffjann,Mast2013
Hoffjann,Merten1992
Hoffjann,Merten1999
Hoffjann,Merten2004
Hoffjann,Merten2008a
Hoffjann,Merten2008b
Hoffjann,Merten1997
Hoffjann,Merten2009
Hoffjann,Merten2013
Hoffjann,Merten2010
Hoffjann,Merten2014
Hoffjann,Preusse_RoettgerU_Schmitt2013
Hoffjann,Raupp_Hoffjann2012
Hoffjann,RoettgerU1998
Hoffjann,RoettgerU2000
Hoffjann,RoettgerU2005
Hoffjann,RoettgerU2006
Hoffjann,RoettgerU2008
Hoffjann,RoettgerU2009a
Hoffjann,RoettgerU2009b
Hoffjann,RoettgerU2009c
Hoffjann,RoettgerU_Donges2003
Hoffjann,RoettgerU_Gehrau_Preusse2013
Hoffjann,RoettgerU_Hoffmann_Jarren2003
Hoffjann,RoettgerU_Zielmann2009a
Hoffjann,RoettgerU_Zielmann2009b
Hoffjann,RoettgerU_Zielmann2012
Hoffjann,Seidenglanz_Bentele2004
Hoffjann,SzyszkaP1995
Hoffjann,SzyszkaP1996
Hoffjann,SzyszkaP1997
Hoffjann,SzyszkaP1998
Hoffjann,SzyszkaP2004
Hoffjann,SzyszkaP2008
Hoffjann,SzyszkaP2009a
Hoffjann,SzyszkaP2009b
Hoffjann,SzyszkaP2009c
Hoffjann,SzyszkaP2010
Hoffjann,SzyszkaP2011
Hoffjann,SzyszkaP2013
Hoffjann,SzyszkaP2015
Hoffjann,SzyskaP_Schuette_Urbahn2009
Hoffjann,Wehmeier_RoettgerU2011
Hoffjann,Zerfass_Schwalbach_Bentele_Sherzada2014a
Steinke,Bentele1978
Franck,Bruhn2014c
